timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673376849285,665,object_info_1,200,OK,Thread Group 1-569,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,665,0,56
1673376847988,1962,get_method,200,OK,Thread Group 1-489,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,1962,0,1050
1673376848008,1943,HTTP Request test,200,OK,Thread Group 1-295,text,true,,195,128,600,600,http://162.55.220.72:5005/first,1943,0,1045
1673376847979,1974,object_info_1,200,OK,Thread Group 1-273,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1974,0,1059
1673376849285,674,get_method,200,OK,Thread Group 1-181,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,674,0,56
1673376849314,645,object_info_1,200,OK,Thread Group 1-487,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,645,0,49
1673376848598,1362,object_info_1,200,OK,Thread Group 1-546,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1362,0,1048
1673376849004,957,HTTP Request test,200,OK,Thread Group 1-407,text,true,,195,128,600,600,http://162.55.220.72:5005/first,957,0,48
1673376846586,3381,get_method,200,OK,Thread Group 1-269,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,3381,0,3060
1673376849612,355,get_method,200,OK,Thread Group 1-277,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,355,0,47
1673376849612,356,get_method,200,OK,Thread Group 1-235,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,356,0,47
1673376848605,1364,HTTP Request test,200,OK,Thread Group 1-93,text,true,,195,128,600,600,http://162.55.220.72:5005/first,1364,0,1055
